title,genres,runtime,vote_average,vote_count,year
Timecop,"['thriller', 'science fiction', 'action', 'crime']",99.0,5.5,288.0,1994
True Lies,"['action', 'thriller']",141.0,6.8,1138.0,1994
When a Man Loves a Woman,"['drama', 'romance']",126.0,6.0,71.0,1994
Wolf,['fantasy'],125.0,6.0,221.0,1994
Wyatt Earp,"['drama', 'action', 'western']",191.0,6.5,203.0,1994
Bad Company,"['action', 'crime', 'romance', 'thriller']",108.0,4.9,12.0,1995
A Man of No Importance,"['comedy', 'drama']",99.0,6.5,2.0,1994
S.F.W.,"['comedy', 'drama']",96.0,6.1,22.0,1994
A Low Down Dirty Shame,"['action', 'comedy', 'crime']",100.0,6.0,31.0,1994
"Boys Life: Three Stories of Love, Lust, and Liberation",['drama'],91.0,2.0,1.0,1994
Colonel Chabert,['drama'],110.0,5.9,9.0,1994
"Faster, Pussycat! Kill! Kill!","['action', 'crime']",83.0,6.5,59.0,1965
Jason's Lyric,"['crime', 'drama', 'romance']",119.0,5.9,9.0,1994
The Secret Adventures of Tom Thumb,"['animation', 'science fiction']",61.0,7.1,8.0,1993
Street Fighter,"['action', 'adventure', 'thriller']",102.0,4.1,330.0,1994
Coldblooded,"['action', 'comedy']",92.0,6.7,13.0,1995
Desert Winds,[],97.0,0.0,0.0,1997
Fall Time,"['action', 'adventure', 'crime', 'drama', 'thriller']",88.0,6.3,6.0,1995
The Fear,"['horror', 'thriller']",98.0,3.4,7.0,1995
Frank and Ollie,['documentary'],89.0,7.5,4.0,1995
Girl in the Cadillac,"['romance', 'adventure', 'crime', 'drama']",89.0,10.0,1.0,1995
Homage,"['thriller', 'drama']",97.0,0.0,0.0,1995
Mirage,"['action', 'thriller']",92.0,4.0,1.0,1995
Open Season,['comedy'],97.0,0.0,0.0,1996
Dos Crímenes,[],0.0,5.0,1.0,1995
Brother Minister: The Assassination of Malcolm X,['documentary'],115.0,4.0,1.0,1995
Highlander: The Final Dimension,"['action', 'fantasy', 'science fiction']",99.0,4.5,110.0,1994
Federal Hill,[],97.0,5.0,2.0,1995
In the Mouth of Madness,"['horror', 'mystery', 'thriller']",95.0,7.1,307.0,1994
8 Seconds,"['drama', 'romance']",105.0,7.2,22.0,1994
Above the Rim,"['crime', 'drama']",96.0,6.7,40.0,1994
Addams Family Values,"['comedy', 'family', 'fantasy']",94.0,6.5,537.0,1993
Martin Lawrence: You So Crazy,['comedy'],84.0,4.5,4.0,1994
The Age of Innocence,"['drama', 'romance']",139.0,7.0,172.0,1993
Airheads,"['comedy', 'crime', 'music']",92.0,5.8,222.0,1994
The Air Up There,"['comedy', 'family']",107.0,5.1,42.0,1994
Another Stakeout,"['action', 'comedy']",105.0,4.9,58.0,1993
Bad Girls,"['action', 'adventure', 'comedy', 'drama', 'western']",99.0,4.6,61.0,1994
Barcelona,"['comedy', 'drama', 'romance']",100.0,6.6,20.0,1994
Being Human,"['drama', 'comedy', 'fantasy']",122.0,5.0,15.0,1994
The Beverly Hillbillies,['comedy'],93.0,5.0,86.0,1993
Beverly Hills Cop III,"['action', 'comedy', 'crime']",104.0,5.5,445.0,1994
Black Beauty,"['action', 'adventure', 'drama', 'family']",88.0,6.6,68.0,1994
Blink,"['mystery', 'crime', 'drama', 'thriller']",106.0,6.3,45.0,1994
Blown Away,"['drama', 'action', 'thriller']",121.0,6.0,126.0,1994
Blue Chips,['drama'],108.0,5.7,41.0,1994
Blue Sky,"['drama', 'romance']",101.0,6.1,28.0,1994
Body Snatchers,"['horror', 'science fiction', 'thriller']",87.0,5.8,102.0,1993
Boxing Helena,"['drama', 'romance']",107.0,4.5,59.0,1993
A Bronx Tale,"['drama', 'crime']",121.0,7.4,447.0,1993
Cabin Boy,['comedy'],80.0,4.9,28.0,1994
Calendar Girl,"['drama', 'comedy']",90.0,3.7,10.0,1993
Carlito's Way,"['action', 'crime', 'drama', 'thriller']",144.0,7.7,805.0,1993
City Slickers II: The Legend of Curly's Gold,"['action', 'comedy', 'drama', 'western']",116.0,4.9,103.0,1994
Clean Slate,"['comedy', 'thriller', 'mystery']",107.0,5.7,25.0,1994
Cliffhanger,"['action', 'adventure', 'thriller']",112.0,6.1,600.0,1993
Coneheads,"['comedy', 'science fiction', 'family']",88.0,4.8,228.0,1993
Color of Night,"['drama', 'mystery', 'romance', 'thriller']",121.0,5.4,117.0,1994
Cops & Robbersons,"['action', 'comedy', 'family']",93.0,5.0,36.0,1994
The Cowboy Way,"['western', 'action', 'comedy']",102.0,5.1,38.0,1994
Dangerous Game,['drama'],108.0,5.4,9.0,1993
Dave,['comedy'],110.0,6.3,205.0,1993
Dazed and Confused,"['comedy', 'drama']",102.0,7.4,588.0,1993
Demolition Man,"['crime', 'action', 'science fiction']",115.0,6.4,1018.0,1993
The Endless Summer 2,['documentary'],109.0,7.1,12.0,1994
Even Cowgirls Get the Blues,"['western', 'drama', 'comedy', 'romance']",96.0,4.2,29.0,1994
Fatal Instinct,['comedy'],91.0,5.4,37.0,1993
Farewell My Concubine,['drama'],171.0,7.8,98.0,1993
The Favor,"['drama', 'comedy', 'romance']",97.0,3.3,6.0,1994
Fearless,['drama'],122.0,6.8,80.0,1993
Fear of a Black Hat,['comedy'],88.0,5.8,11.0,1994
With Honors,"['comedy', 'drama']",103.0,6.1,54.0,1994
Flesh and Bone,"['drama', 'mystery', 'romance']",126.0,6.2,22.0,1993
Widows' Peak,"['comedy', 'thriller', 'mystery', 'romance', 'foreign']",101.0,4.3,3.0,1994
For Love or Money,"['comedy', 'romance']",94.0,5.7,77.0,1993
The Firm,"['drama', 'mystery', 'thriller']",154.0,6.6,513.0,1993
Free Willy,"['family', 'adventure']",112.0,6.0,429.0,1993
Fresh,"['crime', 'drama', 'thriller']",114.0,7.6,56.0,1994
The Fugitive,"['adventure', 'action', 'thriller', 'crime', 'mystery']",130.0,7.2,1240.0,1993
Geronimo: An American Legend,"['history', 'action', 'drama', 'western']",115.0,5.9,44.0,1993
The Getaway,"['drama', 'action', 'thriller']",115.0,5.4,81.0,1994
Getting Even with Dad,"['family', 'comedy', 'crime']",109.0,4.5,43.0,1994
Go Fish,"['drama', 'romance']",83.0,3.9,5.0,1994
A Good Man in Africa,"['comedy', 'drama']",94.0,5.2,11.0,1994
Guilty as Sin,"['drama', 'thriller']",107.0,5.6,21.0,1993
Hard Target,"['action', 'adventure', 'crime', 'thriller']",97.0,6.1,237.0,1993
Heaven & Earth,"['history', 'war', 'action', 'drama']",140.0,6.4,51.0,1993
Hot Shots! Part Deux,"['action', 'comedy', 'war']",86.0,6.2,463.0,1993
Live Nude Girls,['comedy'],95.0,4.7,12.0,1995
The Englishman Who Went Up a Hill But Came Down a Mountain,"['drama', 'comedy', 'romance']",99.0,6.1,83.0,1995
The House of the Spirits,"['romance', 'drama']",140.0,6.7,135.0,1993
House Party 3,['comedy'],100.0,4.6,11.0,1994
The Hudsucker Proxy,"['comedy', 'drama']",111.0,7.1,280.0,1994
I'll Do Anything,"['comedy', 'drama']",115.0,5.7,18.0,1994
In the Army Now,['comedy'],91.0,4.7,54.0,1994
In the Line of Fire,"['action', 'drama', 'thriller', 'crime', 'mystery']",128.0,6.8,392.0,1993
In the Name of the Father,['drama'],133.0,7.6,363.0,1993
The Inkwell,"['comedy', 'drama', 'romance']",110.0,3.9,5.0,1994
What's Love Got to Do with It,"['drama', 'music']",118.0,6.9,75.0,1993
Jimmy Hollywood,['comedy'],112.0,4.6,17.0,1994
Judgment Night,"['action', 'thriller', 'crime']",110.0,6.4,79.0,1993
Jurassic Park,"['adventure', 'science fiction']",127.0,7.6,4956.0,1993
Kalifornia,"['thriller', 'crime']",117.0,6.5,209.0,1993
Killing Zoe,"['action', 'crime', 'drama', 'thriller']",96.0,6.1,111.0,1993
King of the Hill,['drama'],103.0,6.4,33.0,1993
Lassie,"['action', 'adventure', 'drama', 'family']",94.0,6.1,54.0,1994
Last Action Hero,"['adventure', 'fantasy', 'action', 'comedy', 'family']",130.0,6.1,725.0,1993
Life With Mikey,"['comedy', 'family']",91.0,5.1,24.0,1993
Lightning Jack,"['action', 'comedy', 'western']",98.0,5.7,40.0,1994
M. Butterfly,"['drama', 'romance']",101.0,6.6,35.0,1993
Made in America,['comedy'],111.0,5.3,86.0,1993
Malice,"['drama', 'crime']",107.0,5.9,105.0,1993
The Man without a Face,['drama'],114.0,6.2,125.0,1993
Manhattan Murder Mystery,"['comedy', 'mystery']",104.0,7.1,169.0,1993
Menace II Society,"['drama', 'action', 'crime']",97.0,7.2,179.0,1993
Executive Decision,"['action', 'adventure', 'drama', 'thriller']",133.0,5.8,261.0,1996
In the Realm of the Senses,"['drama', 'romance']",105.0,6.5,112.0,1976
What Happened Was...,"['thriller', 'comedy', 'drama', 'romance']",91.0,7.0,7.0,1994
Much Ado About Nothing,"['drama', 'comedy', 'romance']",111.0,7.2,194.0,1993
Mr. Jones,"['drama', 'romance']",114.0,5.9,35.0,1993
Mr. Wonderful,"['comedy', 'romance']",98.0,5.5,11.0,1993
Mrs. Doubtfire,"['comedy', 'drama', 'family']",125.0,7.0,1638.0,1993
Naked,"['comedy', 'drama']",131.0,7.5,105.0,1993
The Next Karate Kid,['adventure'],107.0,4.8,202.0,1994
The New Age,"['comedy', 'drama']",112.0,4.8,5.0,1994
No Escape,"['action', 'drama', 'science fiction', 'thriller']",118.0,6.1,86.0,1994
North,"['comedy', 'drama', 'family', 'fantasy', 'science fiction']",87.0,4.8,67.0,1994
Orlando,"['romance', 'drama', 'fantasy']",93.0,6.7,53.0,1992
A Perfect World,"['crime', 'drama', 'thriller']",138.0,7.2,376.0,1993
Philadelphia,['drama'],125.0,7.6,1019.0,1993
The Piano,"['drama', 'romance']",121.0,7.1,290.0,1993
Poetic Justice,"['drama', 'romance']",109.0,6.9,47.0,1993
The Program,['drama'],112.0,6.0,28.0,1993
The Puppet Masters,"['horror', 'science fiction', 'thriller']",109.0,5.6,41.0,1994
Radioland Murders,"['comedy', 'crime', 'drama', 'music', 'mystery', 'romance']",108.0,5.8,12.0,1994
The Ref,['comedy'],97.0,6.7,99.0,1994
The Remains of the Day,"['drama', 'romance']",134.0,7.5,213.0,1993
Renaissance Man,"['comedy', 'war']",128.0,5.9,83.0,1994
Rising Sun,"['action', 'drama', 'thriller']",125.0,5.8,188.0,1993
The Road to Wellville,"['comedy', 'romance']",118.0,5.5,43.0,1994
RoboCop 3,"['action', 'adventure', 'crime', 'science fiction', 'thriller']",104.0,4.2,309.0,1993
Robin Hood: Men in Tights,['comedy'],104.0,6.4,575.0,1993
Romeo Is Bleeding,"['action', 'crime', 'drama', 'thriller']",100.0,5.7,36.0,1993
Romper Stomper,"['action', 'drama', 'thriller']",94.0,6.6,126.0,1992
Ruby in Paradise,"['drama', 'romance']",114.0,5.6,10.0,1993
Rudy,['drama'],114.0,7.2,187.0,1993
The Saint of Fort Washington,['drama'],99.0,4.0,5.0,1993
Savage Nights,['drama'],126.0,6.2,11.0,1992
Schindler's List,"['drama', 'history', 'war']",195.0,8.3,4436.0,1993
The Scout,"['comedy', 'drama']",101.0,5.3,37.0,1994
Searching for Bobby Fischer,['drama'],110.0,7.3,100.0,1993
Second Best,['drama'],105.0,5.9,8.0,1994
The Secret Garden,"['drama', 'family', 'fantasy']",102.0,7.1,232.0,1993
Serial Mom,"['comedy', 'crime', 'horror', 'thriller']",95.0,6.4,137.0,1994
The Shadow,"['adventure', 'fantasy', 'action', 'thriller', 'science fiction']",108.0,5.4,140.0,1994
Shadowlands,"['drama', 'romance']",131.0,6.8,61.0,1993
Short Cuts,"['comedy', 'drama']",187.0,6.9,136.0,1993
A Simple Twist of Fate,"['drama', 'family']",106.0,5.7,26.0,1994
Sirens,"['comedy', 'drama']",98.0,5.2,31.0,1993
Six Degrees of Separation,"['mystery', 'drama', 'comedy']",112.0,6.5,75.0,1993
Sleepless in Seattle,"['comedy', 'drama', 'romance']",105.0,6.5,630.0,1993
Sliver,"['drama', 'thriller']",108.0,4.9,144.0,1993
Blade Runner,"['science fiction', 'drama', 'thriller']",117.0,7.9,3833.0,1982
Son in Law,"['comedy', 'drama', 'romance']",95.0,5.6,81.0,1993
So I Married an Axe Murderer,"['comedy', 'crime', 'romance']",93.0,6.1,131.0,1993
Striking Distance,"['crime', 'action', 'mystery', 'thriller']",102.0,5.4,223.0,1993
Harem,"['history', 'drama', 'romance']",113.0,4.0,4.0,1985
Super Mario Bros.,"['adventure', 'comedy', 'family', 'fantasy']",104.0,4.0,236.0,1993
Surviving the Game,"['action', 'adventure', 'thriller', 'crime']",96.0,6.1,53.0,1994
Terminal Velocity,"['action', 'thriller']",102.0,5.0,82.0,1994
Thirty Two Short Films About Glenn Gould,"['drama', 'music']",93.0,7.4,9.0,1993
Threesome,"['comedy', 'drama', 'family', 'romance']",93.0,6.3,57.0,1994
The Nightmare Before Christmas,"['fantasy', 'animation', 'family']",76.0,7.6,2135.0,1993
The Three Musketeers,"['action', 'adventure', 'comedy']",105.0,6.2,219.0,1993
Tombstone,"['action', 'adventure', 'drama', 'history', 'western']",130.0,7.4,632.0,1993
Trial by Jury,"['drama', 'action', 'thriller']",107.0,5.5,5.0,1994
True Romance,"['action', 'thriller', 'crime', 'romance']",120.0,7.5,762.0,1993
The War Room,"['documentary', 'history']",96.0,7.3,19.0,1993
The Pagemaster,"['fantasy', 'science fiction', 'family', 'animation']",80.0,6.2,178.0,1994
"Paris, France","['drama', 'comedy']",112.0,6.0,2.0,1994
"The Beans of Egypt, Maine",[],0.0,0.0,1.0,1994
Killer,"['thriller', 'drama', 'romance']",97.0,3.0,2.0,1994
Welcome to the Dollhouse,"['comedy', 'drama']",88.0,6.9,103.0,1995
Germinal,"['drama', 'romance']",160.0,6.3,43.0,1993
Chasers,"['comedy', 'romance']",102.0,4.7,22.0,1994
Cronos,"['drama', 'horror', 'thriller']",94.0,6.4,153.0,1993
Naked in New York,"['comedy', 'romance']",95.0,4.0,3.0,1993
Kika,"['comedy', 'drama']",117.0,6.8,58.0,1993
Bhaji on the Beach,"['comedy', 'drama']",100.0,5.1,10.0,1994
Little Big League,"['comedy', 'family']",119.0,6.0,20.0,1994
The Slingshot,['drama'],102.0,6.2,10.0,1993
Wide Eyed and Legless,"['tv movie', 'drama', 'romance', 'comedy']",102.0,0.0,0.0,1993
Foreign Student,"['drama', 'romance']",90.0,0.0,0.0,1994
"Ciao, Professore!","['comedy', 'foreign']",100.0,7.2,74.0,1992
Spanking the Monkey,"['comedy', 'drama']",106.0,5.3,29.0,1994
The Little Rascals,"['romance', 'comedy', 'family']",82.0,6.3,214.0,1994
À la mode,['comedy'],82.0,0.0,0.0,1993
Andre,"['drama', 'family', 'adventure']",94.0,5.0,31.0,1994
The Escort,"['thriller', 'crime', 'drama']",92.0,5.0,5.0,1993
Princess Caraboo,"['comedy', 'drama', 'history', 'mystery']",97.0,4.4,5.0,1994
The Celluloid Closet,"['history', 'documentary']",102.0,7.0,24.0,1996
Café au Lait,"['drama', 'comedy', 'romance', 'foreign']",94.0,6.8,4.0,1993
Dear Diary,"['comedy', 'drama']",100.0,6.9,46.0,1993
I Don't Want to Talk About It,"['romance', 'drama']",106.0,6.0,1.0,1993
The Brady Bunch Movie,['comedy'],84.0,5.9,87.0,1995
Home Alone,"['comedy', 'family']",103.0,7.1,2487.0,1990
Ghost,"['fantasy', 'drama', 'thriller', 'mystery', 'romance']",127.0,6.9,1381.0,1990
Aladdin,"['animation', 'family', 'comedy', 'adventure', 'fantasy', 'romance']",90.0,7.4,3495.0,1992
Terminator 2: Judgment Day,"['action', 'thriller', 'science fiction']",137.0,7.7,4274.0,1991
Dances with Wolves,"['adventure', 'drama', 'western']",181.0,7.6,1084.0,1990
Tough and Deadly,"['thriller', 'action', 'drama']",92.0,6.3,4.0,1995
Batman,"['fantasy', 'action']",126.0,7.0,2145.0,1989
The Silence of the Lambs,"['crime', 'drama', 'thriller']",119.0,8.1,4549.0,1991
Snow White and the Seven Dwarfs,"['fantasy', 'animation', 'family']",83.0,6.9,1973.0,1937
Beauty and the Beast,"['romance', 'family', 'animation', 'fantasy', 'music']",84.0,7.5,3029.0,1991
Pinocchio,"['animation', 'family']",88.0,6.9,1412.0,1940
Pretty Woman,"['romance', 'comedy']",119.0,7.0,1807.0,1990
Window to Paris,"['comedy', 'drama', 'fantasy']",87.0,6.0,6.0,1993
The Wild Bunch,"['adventure', 'western']",145.0,7.7,266.0,1969
Love and a .45,"['crime', 'thriller']",101.0,5.5,15.0,1994
The Wooden Man's Bride,"['drama', 'foreign', 'romance']",113.0,6.5,1.0,1994
A Great Day in Harlem,[],60.0,7.0,2.0,1994
Bye Bye Love,"['comedy', 'romance']",106.0,6.1,20.0,1995
One Fine Day,"['comedy', 'romance']",108.0,6.1,160.0,1996
Candyman: Farewell to the Flesh,['horror'],93.0,5.0,64.0,1995
Century,"['romance', 'drama']",112.0,5.0,1.0,1993
Fargo,"['crime', 'drama', 'thriller']",98.0,7.7,2080.0,1996
Homeward Bound II: Lost in San Francisco,"['adventure', 'comedy', 'drama', 'family']",89.0,6.0,105.0,1996
Heavy Metal,"['animation', 'science fiction']",90.0,6.3,150.0,1981
Hellraiser: Bloodline,"['horror', 'thriller', 'science fiction']",86.0,4.9,111.0,1996
The Pallbearer,"['comedy', 'romance']",97.0,4.6,30.0,1996
Jane Eyre,"['drama', 'romance']",112.0,7.1,51.0,1996
Loaded,"['drama', 'mystery', 'thriller']",91.0,4.0,3.0,1996
Bread and Chocolate,"['comedy', 'foreign']",100.0,7.1,10.0,1974
The Aristocats,"['animation', 'comedy', 'family', 'adventure']",78.0,7.1,1287.0,1970
The Flower of My Secret,"['drama', 'romance']",107.0,6.9,43.0,1995
Two Much,"['comedy', 'romance']",118.0,5.1,24.0,1996
Ed,"['comedy', 'family']",94.0,3.6,24.0,1996
Scream of Stone,"['adventure', 'drama', 'documentary']",105.0,7.5,4.0,1991
My Favorite Season,['drama'],127.0,6.4,4.0,1993
A Modern Affair,[],90.0,5.0,1.0,1996
Condition Red,"['thriller', 'action', 'drama']",83.0,4.7,3.0,1995
Halfaouine: Boy of the Terraces,"['comedy', 'drama']",98.0,7.4,5.0,1990
A Thin Line Between Love and Hate,"['comedy', 'thriller', 'crime', 'romance']",108.0,5.7,15.0,1996
The Last Supper,"['comedy', 'thriller', 'crime', 'drama']",92.0,6.5,82.0,1995
Primal Fear,"['crime', 'drama', 'mystery', 'thriller']",129.0,7.4,644.0,1996
Rude,[],89.0,6.0,1.0,1995
Carried Away,"['drama', 'romance']",109.0,5.4,5.0,1996
All Dogs Go to Heaven 2,"['romance', 'animation', 'family', 'adventure', 'fantasy']",82.0,5.0,50.0,1996
Land and Freedom,"['drama', 'history', 'war', 'romance']",109.0,7.0,53.0,1995
Denise Calls Up,['comedy'],80.0,6.6,5.0,1995
Theodore Rex,"['fantasy', 'science fiction', 'family']",92.0,3.6,17.0,1995
A Family Thing,"['comedy', 'drama']",109.0,5.6,14.0,1996
Frisk,"['drama', 'thriller']",88.0,3.0,3.0,1996
Sgt. Bilko,"['comedy', 'family']",90.0,5.5,96.0,1996
Jack & Sarah,"['comedy', 'drama', 'romance']",110.0,5.1,10.0,1995
Girl 6,['comedy'],108.0,5.7,17.0,1996
Diabolique,"['drama', 'horror', 'mystery', 'thriller']",107.0,5.4,74.0,1996
"Little Indian, Big City","['adventure', 'drama', 'comedy', 'family']",90.0,6.0,145.0,1994
Roula,"['romance', 'drama']",97.0,5.0,1.0,1995
Peanuts – Die Bank zahlt alles,['comedy'],,4.0,1.0,1996
Happy Weekend,['comedy'],,0.0,0.0,1996
Nelly and Monsieur Arnaud,"['drama', 'romance']",106.0,7.1,16.0,1996
Courage Under Fire,"['drama', 'thriller', 'mystery', 'war']",117.0,6.2,240.0,1996
Mission: Impossible,"['adventure', 'action', 'thriller']",110.0,6.7,2677.0,1996
Cold Fever,"['drama', 'comedy']",85.0,7.7,6.0,1995
Moll Flanders,"['drama', 'romance']",123.0,6.2,19.0,1996
The Superwife,['comedy'],86.0,5.3,7.0,1996
"301, 302","['horror', 'mystery', 'thriller']",100.0,6.2,10.0,1995
DragonHeart,['fantasy'],103.0,6.4,553.0,1996
Und keiner weint mir nach,['drama'],,0.0,0.0,1996
My Mother's Courage,['drama'],93.0,0.0,0.0,1995
Eddie,"['action', 'comedy']",100.0,5.4,46.0,1996
Yankee Zulu,"['drama', 'comedy']",100.0,6.0,4.0,1993
Billy's Holiday,[],92.0,0.0,0.0,1995
Purple Noon,"['crime', 'drama', 'thriller']",115.0,7.3,73.0,1960
August,"['romance', 'comedy', 'drama']",94.0,5.3,3.0,1996
James and the Giant Peach,"['adventure', 'animation', 'family']",79.0,6.2,375.0,1996
Fear,"['drama', 'thriller', 'romance']",97.0,6.1,157.0,1996
Kids in the Hall: Brain Candy,['comedy'],89.0,5.9,26.0,1996
Faithful,"['comedy', 'crime', 'drama']",91.0,4.8,4.0,1996
Underground,"['war', 'drama', 'comedy']",170.0,7.5,143.0,1995
All Things Fair,"['war', 'drama', 'romance']",130.0,6.1,23.0,1995
Bloodsport II,"['action', 'thriller']",90.0,5.2,23.0,1996
Pather Panchali,['drama'],125.0,7.9,63.0,1955
The World of Apu,['drama'],117.0,8.2,40.0,1959
Mystery Science Theater 3000: The Movie,"['comedy', 'science fiction']",73.0,7.0,71.0,1996
Tarantella,[],100.0,0.0,0.0,1996
Space Jam,"['animation', 'comedy', 'drama', 'family', 'fantasy']",88.0,6.5,1335.0,1996
Barbarella,['science fiction'],98.0,5.7,149.0,1968
Hostile Intentions,"['thriller', 'action', 'drama']",90.0,8.0,1.0,1995
They Bite,"['comedy', 'horror', 'science fiction']",98.0,5.5,1.0,1996
Some Folks Call It a Sling Blade,"['drama', 'thriller']",25.0,7.5,8.0,1994
The Run of the Country,"['drama', 'romance']",0.0,8.0,2.0,1995
Alphaville,"['drama', 'science fiction', 'mystery']",100.0,6.8,100.0,1965
Coup de Torchon,['drama'],128.0,6.8,21.0,1981
Tigrero: A Film That Was Never Made,"['documentary', 'foreign']",75.0,7.5,4.0,1994
The Eye of Vichy,[],110.0,0.0,0.0,1993
Windows,"['horror', 'drama', 'thriller']",96.0,5.8,9.0,1980
It's My Party,['drama'],110.0,6.2,9.0,1996
Country Life,"['drama', 'romance']",118.0,8.0,1.0,1994
Operation Dumbo Drop,"['action', 'adventure', 'comedy', 'family']",107.0,4.7,37.0,1995
The Promise,"['drama', 'romance']",115.0,5.0,1.0,1995
Mrs. Winterbourne,"['comedy', 'romance', 'drama']",105.0,5.5,26.0,1996
Solo,"['action', 'adventure', 'science fiction', 'thriller']",94.0,3.9,18.0,1996
Under The Domim Tree,"['drama', 'foreign']",0.0,6.5,2.0,1994
The Substitute,"['action', 'thriller']",114.0,5.8,60.0,1996
True Crime,"['crime', 'mystery', 'thriller']",94.0,5.1,7.0,1996
Butterfly Kiss,"['crime', 'drama', 'romance', 'thriller']",88.0,7.4,5.0,1995
Feeling Minnesota,"['action', 'comedy', 'drama', 'thriller']",99.0,5.5,29.0,1996
Delta of Venus,"['drama', 'romance']",99.0,3.3,5.0,1995
To Cross the Rubicon,[],0.0,0.0,0.0,1991
Angus,"['comedy', 'drama', 'family', 'romance']",90.0,6.8,24.0,1995
Priest Daens,"['drama', 'history']",138.0,6.7,15.0,1992
Faces,['drama'],130.0,7.1,36.0,1968
Boys,"['romance', 'drama', 'mystery']",86.0,5.3,11.0,1996
The Quest,"['action', 'adventure']",95.0,5.3,126.0,1996
Cosi,"['comedy', 'romance']",102.0,7.1,9.0,1996
Sunset Park,['drama'],99.0,5.1,7.0,1996
Mulholland Falls,"['drama', 'mystery', 'thriller']",107.0,6.2,73.0,1996
The Truth About Cats & Dogs,"['comedy', 'romance']",93.0,5.7,86.0,1996
Oliver & Company,"['animation', 'comedy', 'family']",74.0,6.5,372.0,1988
Celtic Pride,['comedy'],91.0,4.9,35.0,1996
Flipper,"['adventure', 'family']",95.0,5.3,85.0,1996
Captives,"['drama', 'thriller', 'mystery', 'romance']",100.0,6.0,10.0,1994
Of Love and Shadows,['drama'],103.0,4.4,11.0,1994
Dead Man,"['drama', 'fantasy', 'western']",121.0,7.2,397.0,1995
The Horseman on the Roof,"['war', 'adventure', 'drama', 'romance']",135.0,6.7,25.0,1995
Switchblade Sisters,"['action', 'crime', 'drama']",91.0,6.6,27.0,1975
Mouth to Mouth,"['comedy', 'foreign']",106.0,5.5,5.0,1995
The Visitors,"['fantasy', 'comedy', 'science fiction']",107.0,7.1,433.0,1993
Multiplicity,"['comedy', 'fantasy', 'science fiction']",117.0,5.5,158.0,1996
"The Haunted World of Edward D. Wood, Jr.",['documentary'],112.0,10.0,1.0,1996
Two Friends,"['drama', 'foreign']",86.0,0.0,0.0,2002
The Craft,"['drama', 'fantasy', 'horror', 'thriller']",101.0,6.3,388.0,1996
The Great White Hype,"['comedy', 'drama']",91.0,5.1,29.0,1996
Last Dance,"['drama', 'thriller']",103.0,5.6,9.0,1996
War Stories Our Mother Never Told Us,[],95.0,0.0,0.0,0
Cold Comfort Farm,"['comedy', 'drama', 'romance']",95.0,7.0,21.0,1995
"Institute Benjamenta, or This Dream People Call Human Life","['animation', 'drama']",104.0,7.7,11.0,1995
Heaven's Prisoners,"['drama', 'mystery', 'thriller']",132.0,5.0,17.0,1996
Original Gangstas,"['action', 'drama', 'crime', 'thriller']",99.0,5.5,5.0,1996
The Rock,"['action', 'adventure', 'thriller']",136.0,6.9,1474.0,1996
Getting Away with Murder,['comedy'],91.0,5.5,6.0,1996
Cemetery Man,"['fantasy', 'drama', 'horror', 'comedy']",105.0,7.0,105.0,1994
Twister,"['action', 'adventure', 'drama']",113.0,6.1,966.0,1996
Barb Wire,"['action', 'science fiction']",98.0,3.9,117.0,1996
Le Garçu,['drama'],102.0,5.0,1.0,1995
Honeymoon,['comedy'],92.0,0.0,0.0,1996
Ghost in the Shell,"['action', 'animation', 'science fiction']",83.0,7.8,854.0,1995
Thinner,"['horror', 'thriller']",92.0,5.5,125.0,1996
Spy Hard,"['action', 'comedy']",81.0,4.9,148.0,1996
Brothers in Trouble,"['comedy', 'drama']",102.0,0.0,0.0,1995
A Close Shave,"['family', 'animation', 'comedy']",30.0,7.5,223.0,1995
Force of Evil,"['drama', 'action', 'crime']",78.0,6.6,33.0,1948
The Stupids,"['comedy', 'family']",94.0,4.2,22.0,1996
The Arrival,"['action', 'mystery', 'science fiction', 'thriller']",115.0,6.1,200.0,1996
The Man from Down Under,"['drama', 'war']",103.0,0.0,0.0,1943
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['drama', 'comedy', 'war']",95.0,8.0,1472.0,1964
Careful,"['horror', 'comedy', 'drama', 'fantasy']",100.0,7.8,4.0,1992
Vermont Is for Lovers,[],88.0,0.0,0.0,0
A Month by the Lake,"['comedy', 'drama', 'romance']",92.0,7.2,7.0,1995
Gold Diggers: The Secret of Bear Mountain,['drama'],94.0,5.8,20.0,1995
Kim,"['family', 'adventure']",113.0,7.0,5.0,1950
Carmen Miranda: Bananas Is My Business,['documentary'],91.0,10.0,1.0,1995
Ashes of Time,"['drama', 'action']",100.0,7.1,73.0,1994
The Jar,[],86.0,8.0,3.0,1994
Maya Lin: A Strong Clear Vision,['documentary'],105.0,0.0,0.0,1995
Stalingrad,"['drama', 'history', 'war']",134.0,7.4,116.0,1993
The Phantom,"['adventure', 'action']",100.0,4.7,138.0,1996
Striptease,"['drama', 'thriller', 'crime']",115.0,4.4,210.0,1996
The Last of the High Kings,"['drama', 'comedy']",102.0,5.7,15.0,1996
Heavy,"['drama', 'romance']",105.0,7.7,11.0,1995
Jack,"['comedy', 'drama', 'science fiction']",113.0,5.9,340.0,1996
I Shot Andy Warhol,['drama'],103.0,6.1,32.0,1996
